"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Web interface","0","Essential features","8","0","Authentication","0"
"0","Web interface","0","Essential features","6","0","Actions with articlels","0"
